Time (s),Mean Bit Life Time Per Packet
0.00301553345,1.5496e-05
0.00306570198,2.2664e-05
0.00315338323,1.0344e-05
0.00323377589,3.7736e-05
0.00327159248,2.8552e-05
0.00335428934,4.2248e-05
0.00356898403,5.3940151e-05
0.00386247155,5.3424e-05
0.00395533671,5.3288e-05
0.00403085024,5.8e-06
0.00414647495,6.4424e-05
0.0042019158,5.1864e-05
0.0044348787,5.2824e-05
0.00468804189,4.9984e-05
0.00490444455,5.3384e-05
0.00508759275,5.5529933e-05
0.00526276907,4.9704e-05
0.00619182064,5.1744e-05
0.00669416291,5.208e-05
0.00680575688,5.672e-06
0.0069370267,6.0940873e-05
0.00734405902,5.1968e-05
0.00738356352,5.1472e-05
0.00741555594,5.0464e-05
0.0074748394,5.746167e-06
0.0074909754,6.2882679e-05
0.00784210505,6.7008e-05
0.0079577147,5.0616e-05
0.0080449638,4.9864e-05
0.00829786293,5.176e-05
0.00847306514,4.996e-05
0.00876247675,5.0368e-05
0.00881716542,5.1056e-05
0.0092392267,5.0112e-05
0.00933057183,5.1456e-05
0.00934502054,8.904e-06
0.00995453159,5.3408e-05
0.0100488288,4.9704e-05
0.0103146534,6.5525446e-05
0.0103522246,5.2096e-05
0.0103852015,8.072e-06
0.0106033157,5.0184e-05
0.0106385961,5.2464e-05
0.0107489975,5.2864e-05
0.0108296146,5.048e-05
0.0108939353,5.28e-05
0.0109898645,5.0728e-05
0.0113955032,5.6361664e-05
0.0114826547,5.3512e-05
0.0115477835,5.264e-05
0.0116432247,5.308e-05
0.0122768166,5.1664e-05
0.0124107228,1.0568e-05
0.0124927713,5.3616e-05
0.0128098793,5.172e-05
0.0129167839,6.6623502e-05
0.0129852814,5.312e-05
0.0130181859,5.1024e-05
0.0130714528,6.8290448e-05
0.013110595,5.3432e-05
0.0131833719,5.1208e-05
0.013225453,5.288e-06
0.0133443419,5.3176e-05
0.0135308802,5.3712e-05
0.0138417961,5.3624e-05
0.0141796643,5.3488e-05
0.0143363629,6.184e-06
0.0144913642,5.2184e-05
0.0150092907,5.0104e-05
0.0152296055,5.2416e-05
0.0155413534,5.116e-05
0.015834077,5.088e-05
0.0158843016,5.2104e-05
0.0161376328,5.1432e-05
0.0161594576,5.256e-06
0.016269979,4.776e-06
0.0165396058,5.34e-05
0.0167341922,5.2984e-05
0.0170812046,5.1992e-05
0.0172548227,5.3608e-05
0.0173051754,5.196e-05
0.0174705614,5.3344e-05
0.0175508887,6.0670343e-05
0.0176096438,4.424e-06
0.0181394258,5.12e-05
0.0184558057,5.0576e-05
0.0185034863,5.1256e-05
0.0189362282,9.992e-06
0.019040261,5.2024e-05
0.0191017738,5.2536e-05
0.0191881669,5.2928e-05
0.0193368807,5.064e-05
0.0194033376,5.0096e-05
0.0194906826,5.344e-05
0.0201657236,6.472e-06
0.0204609588,4.9704e-05
0.020877052,5.0792e-05
0.0209748452,5.0584e-05
0.0210896472,5.384e-06
0.0216272933,5.3024e-05
0.0217807992,5.2528e-05
0.02184352,5.3248e-05
0.0218762964,5.2024e-05
0.0219752742,5e-06
0.0220760029,4.9728e-05
0.0222290854,4.808e-06
0.0225306246,5.1344e-05
0.0227562114,5.0928e-05
0.0227930285,4.744e-06
0.0229247495,5.3464e-05
0.023280178,5.0888e-05
0.0233351146,5.0824e-05
0.0234552232,6.2931247e-05
0.0237109913,5.2696e-05
0.0240483152,6.0015723e-05
0.0241339326,5.0632e-05
0.0243421272,5.2824e-05
0.0254204207,5.0104e-05
0.0258679943,5.0672e-05
0.0262113746,1.4047551e-05
0.0262152226,5.3896e-05
0.0263177759,5.0448e-05
0.026407569,5.324e-05
0.026643036,4.9704e-05
0.026732885,5.3552e-05
0.0269556398,5.1304e-05
0.0269918883,5.1552e-05
0.0270291373,5.8e-06
0.0273565968,5.2256e-05
0.0275832797,5.1936e-05
0.0277043452,5.2e-05
0.0279364681,5.012e-05
0.0285408682,5.512e-06
0.0287917508,5.1392e-05
0.0288499275,5.0568e-05
0.0290417859,5.2424e-05
0.0296852979,5.2928e-05
0.0300232301,5.1856e-05
0.0301251274,5.2752e-05
0.0302048004,5.1424e-05
0.0303707225,5.0344e-05
0.0304228591,5.348e-05
0.0305003401,5.096e-05
0.030576829,5.0448e-05
0.0316052499,4.9856e-05
0.03177322,5.0824e-05
0.0319450381,5.264e-05
0.0323754195,5.2016e-05
0.0326117664,5.236e-05
0.0327141117,4.9704e-05
0.0327993048,5.1896e-05
0.0329392505,5.084e-05
0.0334499209,5.2504e-05
0.0334971455,5.2728e-05
0.0336451633,5.0744e-05
0.0336704842,5.064e-06
0.0337546693,6.248e-06
0.0338887982,6.3376e-05
0.0342714111,5.1984e-05
0.0343046996,5.2272e-05
0.0344571335,5.1704e-05
0.0344830944,6.664e-06
0.0351934792,8.04e-06
0.0354091854,5.0744e-05
0.0354787462,5.3304e-05
0.0356977169,5.2272e-05
0.0358099824,5.1536e-05
0.0359938566,5.3408e-05
0.0360391532,4.9704e-05
0.0360765383,6.088e-06
0.0362820682,5.2616e-05
0.0363273268,5.9874045e-05
0.0365826,5.0144e-05
0.0371282468,5.0784e-05
0.0372030717,5.1608e-05
0.0375769724,5.2504e-05
0.0376503654,4.9896e-05
0.0378428717,5.04e-05
0.0379321417,5.9669003e-05
0.0380123459,4.9872e-05
0.0381116991,5.2224e-05
0.0382721731,5.0696e-05
0.0384543994,5.192e-05
0.0385716568,5.0176e-05
0.0388342361,4.9752e-05
0.0389922781,4.9792e-05
0.0390464793,5.992e-06
0.0393535152,6.024e-06
0.0396818227,5.3328e-05
0.0398861612,5.1664e-05
0.0405263852,5.188e-05
0.0407781009,7.592e-06
0.0408912058,5.2696e-05
0.0410194863,5.2974938e-05
0.0410588559,5.3344e-05
0.041101769,5.256e-06
0.0413615397,5.0024e-05
0.0413887805,8.264e-06
0.0415146056,5.0088e-05
0.0416138546,6.4336e-05
0.0418296255,5.3104e-05
0.0421175971,1.3071538e-05
0.0421182691,5.0744e-05
0.0421552782,3.752e-06
0.0423103995,5.1872e-05
0.0423672402,5.1712e-05
0.0424597534,5.2224e-05
0.0425568426,5.0312e-05
