Time (s),Jitter
0.00301553345,0.0
0.00306570198,-3.584e-06
0.00315338323,5.824e-06
0.00323377589,-1.6176e-05
0.00327159248,-5.5936e-06
0.00335428934,-1.60746667e-05
0.00356898403,-2.38001294e-05
0.00386247155,-2.03734811e-05
0.00395533671,-1.79888721e-05
0.00403085024,2.65492151e-05
0.00414647495,-2.91588954e-05
0.0042019158,-1.52156541e-05
0.0044348787,-1.4931373e-05
0.00468804189,-1.12277035e-05
0.00490444455,-1.36525233e-05
0.00508759275,-1.48110528e-05
0.00526276907,-8.45658329e-06
0.00619182064,-9.91343978e-06
0.00669416291,-9.70999558e-06
0.00680575688,3.48631042e-05
0.0069370267,-1.94340655e-05
0.00734405902,-9.98568377e-06
0.00738356352,-9.07708883e-06
0.00741555594,-7.73287679e-06
0.0074748394,3.5505558e-05
0.0074909754,-2.07989943e-05
0.00784210505,-2.40011925e-05
0.0079577147,-7.33743561e-06
0.0080449638,-6.35835162e-06
0.00829786293,-7.97920657e-06
0.00847306514,-5.97987732e-06
0.00876247675,-6.18825616e-06
0.00881716542,-6.66788476e-06
0.0092392267,-5.55553521e-06
0.00933057183,-6.70240563e-06
0.00934502054,3.48537723e-05
0.00995453159,-9.38941073e-06
0.0100488288,-5.53579466e-06
0.0103146534,-2.08096191e-05
0.0103522246,-7.19566878e-06
0.0103852015,3.59300792e-05
0.0106033157,-6.03473217e-06
0.0106385961,-8.1213663e-06
0.0107489975,-8.32769889e-06
0.0108296146,-5.81161669e-06
0.0108939353,-7.95484241e-06
0.0109898645,-5.75767555e-06
0.0113955032,-1.115402e-05
0.0114826547,-8.13487933e-06
0.0115477835,-7.11762174e-06
0.0116432247,-7.40943308e-06
0.0122768166,-5.87817475e-06
0.0124107228,3.4553338e-05
0.0124927713,-8.33735346e-06
0.0128098793,-6.32423795e-06
0.0129167839,-2.08486732e-05
0.0129852814,-7.21630851e-06
0.0130181859,-5.03202733e-06
0.0130714528,-2.19205351e-05
0.013110595,-6.94438562e-06
0.0131833719,-4.64300225e-06
0.013225453,4.06112397e-05
0.0133443419,-7.16125614e-06
0.0135308802,-7.57698652e-06
0.0138417961,-7.37377134e-06
0.0141796643,-7.12810814e-06
0.0143363629,3.95762517e-05
0.0144913642,-6.32928143e-06
0.0150092907,-4.18769764e-06
0.0152296055,-6.40684481e-06
0.0155413534,-5.0782977e-06
0.015834077,-4.73165468e-06
0.0158843016,-5.87407037e-06
0.0161376328,-5.13177212e-06
0.0161594576,4.04969715e-05
0.016269979,4.04378008e-05
0.0165396058,-8.0798849e-06
0.0167341922,-7.56562996e-06
0.0170812046,-6.49041946e-06
0.0172548227,-8.00508921e-06
0.0173051754,-6.27860663e-06
0.0174705614,-7.56916021e-06
0.0175508887,-1.47160393e-05
0.0176096438,4.10358953e-05
0.0181394258,-5.67257405e-06
0.0184558057,-4.9898697e-06
0.0185034863,-5.60469878e-06
0.0189362282,3.52540819e-05
0.019040261,-6.70176173e-06
0.0191017738,-7.13360882e-06
0.0191881669,-7.44290982e-06
0.0193368807,-5.0988782e-06
0.0194033376,-4.50590101e-06
0.0194906826,-7.76639143e-06
0.0201657236,3.87889601e-05
0.0204609588,-4.39675827e-06
0.020877052,-5.42821437e-06
0.0209748452,-5.16694688e-06
0.0210896472,3.96286788e-05
0.0216272933,-7.93120794e-06
0.0217807992,-7.36159202e-06
0.02184352,-8.00236073e-06
0.0218762964,-6.7125514e-06
0.0219752742,3.99238385e-05
0.0220760029,-4.75840756e-06
0.0222290854,3.97827095e-05
0.0225306246,-6.69017564e-06
0.0227562114,-6.21608143e-06
0.0227930285,3.96012404e-05
0.0229247495,-9.03586176e-06
0.023280178,-6.40166481e-06
0.0233351146,-6.28107852e-06
0.0234552232,-1.8225597e-05
0.0237109913,-7.92025918e-06
0.0240483152,-1.51074606e-05
0.0241339326,-5.67439503e-06
0.0243421272,-7.79916089e-06
